Casa do Povo de Azinheira dos Barros,"Rua Dr. António José Almeida, n.o 10",Grândola,Setúbal,Casa do Povo,2000,501065210
Casa do Povo de Melides,"Estrada Nacional, n.o 261",Grândola,Setúbal,Casa do Povo,2000,501068341
Casa do Povo de Canha,"Vila de Canha, Montijo - Setúbal",Montijo,Setúbal,Casa do Povo,2003,500907048
Casa do Povo de Palmela,"Rua de Olivença, no 41 - r/c",Palmela,Setúbal,Casa do Povo,2000,500957827
Casa do Povo de Alvalade,"Praça D. Manuel I, n.o 15 - Alvalade","Santiago doCacém",Setúbal,Casa do Povo,2000,500929955
Casa do Povo de S. Dimingos,"Rua Escritor Manuel da Fonseca, n.o 12","Santiago doCacém",Setúbal,Casa do Povo,2001,500910073
Casa do Povo de Abela,"Abela, Conc. de Santiago do Cacém - Setúbal","Santiago doCacém",Setúbal,Casa do Povo,2002,500919887
Casa do Povo de Cercal do Alentejo,"Rua da Parreira, n.o 5","Santiago doCacém",Setúbal,Casa do Povo,2005,500907544
Casa do Povo de Lanhelas,Rua Ilídio Couto,Caminha,"Viana doCastelo",Casa do Povo,2008,501081119
Casa do Povo de Melgaço,Rua da Oliveira,Melgaço,"Viana doCastelo",Casa do Povo,2009,501177345
Casa do Povo de Tangil,Tangil,Monção,"Viana doCastelo",Casa do Povo,2010,501166645
Casa do Povo de S. Martinho da Gandra,"Freguesia de S. Martinho da Gandra - Pontede Lima",Ponte de Lima,"Viana doCastelo",Casa do Povo,2001,500969418
Casa do Povo de S. Julião do Freixo,Largo da Feira,Ponte de Lima,"Viana doCastelo",Casa do Povo,2007,500927111
Casa do Povo de Vila Nova de Anha,"Largo António Reboleira Marinho, V. doCastelo","Viana doCastelo","Viana doCastelo",Casa do Povo,2002,500921636
Casa do Povo de Afife,Afife - Viana do castelo,"Viana doCastelo","Viana doCastelo",Casa do Povo,2006,500912483
Casa do Povo de Pegarinhos,Rua Central,Alijó,Vila Real,Casa do Povo,2007,500971420
Casa do Povo de Vilarinho dos Freires,"Vilarinho dos Freires - Peso da Régua - VilaReal","Peso daRégua",Vila Real,Casa do Povo,2002,500997047
Casa do Povo de Godim Peso da Régua e Covelinhas,Lugar das Lages,"Peso daRégua",Vila Real,Casa do Povo,2006,501069500
Casa do Povo de Fontelas,Lugar do Mato do Viso - Peso da Régua,"Peso daRégua",Vila Real,Casa do Povo,2007,501067094
Casa do Povo de Vilarandelo,"Rua Prof. José Ribeirinha Machado, n.o 4",Valpaços,Vila Real,Casa do Povo,2005,500951829
Casa do Povo de Parada,"Parada, Castro Daire - Viseu",Castro Daire,Viseu,Casa do Povo,2000,501065873
Casa do Povo de Leomil,"Freguesia de Leomil, Moimenta da Beira -Viseu","Moimenta daBeira",Viseu,Casa do Povo,2000,500920338
Casa do Povo de Resende,"Ava.D.Afonso Henriques, no.180",Resende,Viseu,Casa do Povo,2002,500934290
Casa do Povo de S. Cipriano,"Rua Irmãos Monteiro, n.o 57",Resende,Viseu,Casa do Povo,2018,501068368
Casa do Povo de Sátão,"Rua 25 de Abril, n.o 1",Sátão,Viseu,Casa do Povo,2001,500985570
